title,author,description
"The Midnight Library","Matt Haig","A transformative journey through alternate lives and the choices we regret."
"Where the Crawdads Sing","Delia Owens","A coming-of-age mystery set in the marshes of North Carolina."
"Educated","Tara Westover","A memoir of a woman who grew up in a survivalist family and pursued academic freedom."
"The Silent Patient","Alex Michaelides","A psychological thriller about a woman who stops speaking after shooting her husband."
"Becoming","Michelle Obama","The former First Lady’s deeply personal memoir."
"The Vanishing Half","Brit Bennett","A multigenerational saga about twin sisters living in two very different worlds."
"Normal People","Sally Rooney","An intimate story of love and friendship between two young Irish adults."
"Circe","Madeline Miller","A retelling of the mythological witch’s journey to self-discovery."
"The Nightingale","Kristin Hannah","Two sisters in WWII France take extraordinary risks to survive and resist."
"Project Hail Mary","Andy Weir","A lone astronaut must save Earth in an interstellar adventure."
"Little Fires Everywhere","Celeste Ng","A picture-perfect suburb is disrupted by enigmatic newcomers and hidden histories."
"Atomic Habits","James Clear","A practical guide to building good habits and breaking bad ones."
"The Testaments","Margaret Atwood","The sequel to The Handmaid’s Tale, told from three female perspectives."
"American Dirt","Jeanine Cummins","A woman and her son flee drug violence in Mexico, crossing into the U.S."
"Where the Forest Meets the Stars","Glendy Vanderah","A mysterious little girl appears and changes lives in rural Illinois."
"Anxious People","Fredrik Backman","A crime that never happened and a bank robbery that did led to a bizarre hostage situation."
"The Four Winds","Kristin Hannah","A sweeping story of love, loss, and resilience during the Great Depression."
"The Invisible Life of Addie LaRue","V.E. Schwab","A bargain with the devil gives a woman immortality—with a catch."
"Modern Romance","Aziz Ansari","A humorous, insightful exploration of dating in the digital age."
"Daisy Jones & The Six","Taylor Jenkins Reid","A fictional ’70s rock band’s rise, fall, and reunion."
"The Overstory","Richard Powers","An intricate novel about trees, people, and lasting connections."
"Educating Rita","Willy Russell","A comedy-drama about adult education and self-discovery."
"Half of a Yellow Sun","Chimamanda Ngozi Adichie","A novel set during the Nigerian Civil War, exploring love and identity."
"The Road","Cormac McCarthy","A haunting tale of a father and son's journey through post-apocalyptic America."
"All the Light We Cannot See","Anthony Doerr","A blind French girl and a German soldier find paths that lead to one another in WWII."
"Big Little Lies","Liane Moriarty","Secrets and lies bubble beneath the veneer of suburban perfection."
"The Goldfinch","Donna Tartt","A boy’s life is changed by a priceless painting after surviving an accident."
"Educated Guess","Denise Hamilton","A gripping tale of crime, justice, and personal reckoning."
"Go Set a Watchman","Harper Lee","A controversial sequel/sequel-to-Go-Set-a-Watchman exploring Scout as an adult."
"The Luminaries","Eleanor Catton","A complex historical novel of love, murder, and fortune in gold rush New Zealand."
"Normal People","Sally Rooney","(Duplicate intentionally removed)"
"The Great Believers","Rebecca Makkai","A moving story set during the AIDS epidemic in 1980s Chicago."
"Red, White & Royal Blue","Casey McQuiston","Romantic comedy about a first son of the U.S. and a British prince."
"Unorthodox","Deborah Feldman","A woman flees from an ultra-Orthodox Jewish community in Brooklyn."
"The Underground Railroad","Colson Whitehead","An alternate history account of a literal railroad beneath the soil transporting slaves to freedom."
"The Dutch House","Ann Patchett","A brother and sister navigate loss and forgiveness over five decades."
"Cloud Atlas","David Mitchell","Interwoven narratives across time exploring human connection."
"The Catcher in the Rye","J.D. Salinger","A classic tale of teenage angst and alienation."
"Jane Eyre","Charlotte Brontë","An orphan’s journey to adulthood, love, and independence."
"1984","George Orwell","A dystopian vision of totalitarian surveillance and control."
"To Kill a Mockingbird","Harper Lee","A young girl confronts racial injustice in the Deep South."
